A.19078,A.19312,A.19332,B.15012,B.15076,B.15096,C.11064,C.11070,C.11425,D.07042,D.07418,D.07428,E.03072,E.03094,E.03098,F.98314,F.98372,F.98398
0.017404282,0.017454751,0.019375974,0.030688676,0.025881106,0.030688676,0.051748187,0.04257528,0.027431687,0.025199009,0.056708573,0.039849059,0,0.027479775,0.059918207,0.075524529,0.075524529,0.050696498
0.001542742,0.002380124,0.006969091,0.003545596,0.002829905,0.003545596,0.006423056,0.006149151,0.0031681,0.006824617,0.003436668,0.001596536,0.003314084,0.004484525,0.003427103,0.014327982,0.014327982,0.007354847
0.002938929,0.001748252,0.005521049,0.027496375,0.005181503,0.027496375,0.028794038,0.003658537,0.016506313,0.012138761,0.017675025,0.01350481,0.005228364,0.024438809,0.029098462,0.040208497,0.040208497,0.020541704
0.038127787,0.035619366,0.033479734,0.027573999,0.049176789,0.027573999,0.03251745,0.046072802,0.053090044,0.044314332,0.053752485,0.047206268,0.05301216,0.033683166,0.046792572,0.055865146,0.055865146,0.063293653
0.011855134,0.013732287,0.014480612,0.015445111,0.020189027,0.015445111,0.009796558,0.018887162,0.023058897,0.014629537,0.035270134,0.01192348,0.034251973,0.010347873,0.033666814,0.065175847,0.065175847,0.025720472
0.011483297,0.005498697,0.010473966,0.016959385,0.010057456,0.016959385,0.030847444,0.022354041,0.023404232,0.031974205,0.034724859,0.012785846,0,0.019309495,0.018047427,0.049177828,0.049177828,0.039929105
0.006559865,0.003562695,0.004299779,0.003123088,0.012228452,0.003123088,0.016067552,0.00600907,0.01033319,0.030757768,0.016750432,0.008015291,0,0.018973878,0.027686012,0.052440359,0.052440359,0.007679244
0.008396201,0.003964427,0.004793733,0.018017536,0.008166693,0.018017536,0.013366696,0.005789596,0.007503323,0.003184652,0.007160199,0.011305312,0,0.006742807,0.017517819,0.027958623,0.027958623,0.011526435
0.040552139,0.037338246,0.03176482,0.028542069,0.038733608,0.028542069,0.043275513,0.037126485,0.032380906,0.043175578,0.041988937,0.042043688,0.045282057,0.030484584,0.035078936,0.043940424,0.043940424,0.047798855
0.004742889,0.005437603,0.00563671,0.008837939,0.022416908,0.008837939,0.025650794,0.012943208,0.013649994,0.012665567,0.009744336,0.004482208,0.018958056,0.008719637,0.018991697,0.031438784,0.031438784,0.009758123
0.015193747,0.017091516,0.018633415,0.01985623,0.023579576,0.01985623,0.023016378,0.027685164,0.027448343,0.021540357,0.035628964,0.025068474,0,0.020153169,0.032321659,0.052970547,0.052970547,0.031484591
0.008097302,0.006296206,0.00706039,0.009622883,0.009642376,0.009622883,0.028404494,0.007677839,0.016642983,0.010055881,0.0093902,0.013316869,0.015125709,0.008939065,0.020051433,0.025996279,0.025996279,0.01766374
0.006105295,0.009985192,0.006424682,0.017362674,0.01401404,0.017362674,0.038785315,0.014536868,0.021027921,0.025630208,0.029280771,0.03142375,0,0.018244308,0.028122784,0.074824356,0.074824356,0.034552171
0.044589638,0.03943995,0.042334516,0.048072502,0.035667992,0.048072502,0.029478916,0.042790992,0.047512101,0.056161973,0.041894601,0.06032293,0.047384528,0.027406499,0.041888816,0.051575872,0.051575872,0.054786731
0,0.000787592,0.000779221,0,0.002974803,0,0,0.001371951,0.000569801,0.001072961,0.001381215,0.001555997,0.000449236,0.001005025,0.000712251,0.001481481,0.001481481,0
0.000522117,0.001314228,0.000814728,0.001622083,0.003001883,0.001622083,0.005790598,0.001453317,0.001721113,0.000910317,0.003824153,0.001972607,0.000400517,0.001582114,0.002919114,0.009256539,0.009256539,0.00177913
0.01341034,0.013394323,0.008896692,0.017521056,0.01417435,0.017521056,0.014635719,0.015983552,0.015300465,0.018695132,0.01797972,0.015932565,0.015598296,0.011088284,0.015377811,0.020188544,0.020188544,0.029645096
0.01140751,0.020501517,0.024451071,0.016185635,0.023743421,0.016185635,0.023061224,0.021533479,0.027857143,0.020254012,0.021767605,0.025647803,0.025645137,0.01688185,0.016682629,0.023228241,0.023228241,0.033624434
0.032039077,0.028222654,0.032011559,0.038060258,0.035118285,0.038060258,0.02918801,0.038267709,0.03039141,0.031587473,0.049388959,0.021828331,0.036197389,0.039789022,0.037434669,0.044063177,0.044063177,0.042582742
0.01145348,0.017027301,0.012356794,0.01538266,0.021347185,0.01538266,0.032070306,0.017832882,0.01783659,0.034557441,0.024766219,0.011720739,0.024279949,0.015024322,0.028221838,0.047246124,0.047246124,0.029071891
0.024054003,0.022072565,0.022605274,0.020896501,0.021160371,0.020896501,0.041855033,0.018911728,0.0205346,0.024876212,0.027901717,0.024118534,0.031799887,0.02444839,0.027630084,0.041310384,0.041310384,0.028339876
0.006180748,0.005351521,0.008443442,0.008601407,0.011003026,0.008601407,0.010739249,0.013089677,0.016885596,0.015794287,0.026194309,0.01003216,0,0.016236424,0.027875766,0.074226884,0.074226884,0.04224252
0.054574782,0.054662949,0.051847149,0.053829652,0.051275116,0.053829652,0.052733331,0.053985412,0.056309441,0.057639188,0.051641039,0.055991706,0.051968162,0.052685626,0.05069594,0.064544206,0.064544206,0.060513592
